R,G,B
-16,30,227
17,5,238
17-16,5,227
-16,30,227
22,30,233
22,5,227
-10,5,233
-16,5,233
-16,5,233
17,30,233
-16,5,227
-16,5,227
-16,30,227
17,30,227
-16,0,233
-16,0,227
-16,5,227
-16,5,227
-16,5,233
-16,0,227
-16,5,233
17,30,227
17,5,260
-16,5,233
-16,0,227
-21,0,227
-16,0,227
-16,0,227
-21,0,227
-21,5,227
-16,5,227
-16,0,233
-16,5,227
-16,5,227
-16,5,227
-16,5,227
-10,5,227
-10,5,233
-10,5,227
-16,5,227
-16,5,227
-16,5,227
-16,0,227
-16,0,233
-16,9,227
17,0,250
-16,26,227
-21,26,227
17,0,266
-16,-4,227
-21,-4,227
-21,0,233
-21,0,227
-16,0,233
-16,0,227
-16,0,227
11,0,227
-16,26,227
-16,5,227
-16,5,221
-27,-21,255
-16,39,289
17,64,255
22,60,255
-16,64,255
17,64,255
22,39,289
-195,17,255
-103,30,250
-97,30,250
-86,34,233
-200,-51,238
-124,9,238
-113,5,238
-119,5,238
-119,5,238
-119,9,244
-113,9,238
-113,9,238
-113,9,238
-113,9,238
-75,39,244
-81,34,238
-113,9,238
-113,9,244
-119,9,238
-119,5,238
-119,9,244
-113,9,244
-113,9,238
-113,9,244
-108,39,244
-81,13,238
-113,9,238
-113,9,244
-113,9,244
-113,9,238
-113,9,244
-113,9,244
-113,9,238
-113,9,238
-113,9,238
-119,9,238
-113,5,244
-119,5,238
-113,5,238
-119,5,244
-113,9,244
-113,5,244
-113,9,244
-113,9,238
-113,9,238
-113,9,277
-86,34,238
-119,26,266
-86,5,238
-86,5,272
-124,5,238
-97,0,272
-119,5,238
-119,5,238
-119,0,238
-119,5,238
-119,5,238
-124,0,238
-119,5,238
-124,0,238
-124,5,238
-124,5,238
-119,5,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,5,238
-124,5,238
-124,5,238
-124,0,238
-130,0,238
-124,0,238
-124,26,238
-92,0,238
-124,0,238
-124,0,238
-124,5,238
-124,5,238
-124,0,238
-119,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-130,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,238
-124,0,244
-103,-51,255
-10,39,255
-10,39,255
-10,39,255
-10,39,255
-10,43,255
-10,39,255
-10,43,255
-5,47,255
-217,-12,227
-10,-4,216
-92,-25,216
-10,13,238
6,22,238
6,22,238
6,22,238
6,22,238
6,22,238
0,22,244
0,22,238
0,17,238
6,17,233
6,22,238
0,22,238
0,17,233
0,22,272
0,22,266
0,22,238
0,22,238
0,17,238
0,17,233
0,17,238
0,17,233
0,22,233
0,22,238
0,22,238
0,22,233
0,22,238
0,17,238
0,17,238
0,17,233
0,17,238
0,17,238
0,17,238
0,17,238
0,17,238
0,22,238
0,17,233
0,17,238
0,17,238
-5,17,233
-5,17,233
-5,17,233
-5,13,233
-5,17,238
0,17,233
0,17,238
-5,13,233
-5,43,233
33,17,244
-5,39,233
-5,17,272
33,13,272
22,13,233
-5,22,233
28,13,233
-5,13,233
-5,13,233
-5,13,233
-5,13,233
-5,13,272
28,39,233
28,39,266
-5,39,233
22,43,233
28,13,233
-5,13,238
-5,13,238
-5,13,233
28,13,238
-5,13,233
-5,13,238
-5,13,233
-5,13,233
-5,13,233
-5,13,233
-5,13,233
-5,13,233
-5,13,233
-5,13,238
-5,17,238
-5,13,233
-5,13,233
-5,13,233
-5,13,233
-5,34,233
-59,34,255
-16,34,255
-16,30,250
-21,34,250
-21,34,289
17,60,233
-173,-8,277
-108,17,244
-108,22,244
-108,22,244
-103,22,244
-108,22,244
-108,22,244
-108,22,244
-103,17,244
-108,22,244
-108,47,250
-108,22,244
-108,22,244
-108,17,244
-108,17,244
-108,17,244
-108,17,244
-108,17,244
-113,13,244
-113,13,244
-81,13,244
-113,13,244
